dataset,longitude,latitude,start_date,end_date,max_cloud_cover,field
LANDSAT_8_C1,119.0825,25.9905,1990/1/1,2020/6/4,30,119042
LANDSAT_ETM_C1,119.0825,25.9905,1990/1/1,2020/6/4,30,119042
LANDSAT_TM_C1,119.0825,25.9905,1990/1/1,2020/6/4,30,119042
LANDSAT_8_C1,118.3765,23.111,1990/1/1,2020/6/4,30,119044
LANDSAT_ETM_C1,118.3765,23.111,1990/1/1,2020/6/4,30,119044
LANDSAT_TM_C1,118.3765,23.111,1990/1/1,2020/6/4,30,11944
LANDSAT_8_C1,144.201,47.4445,1990/1/1,2020/6/4,30,107027
LANDSAT_ETM_C1,144.201,47.4445,1990/1/1,2020/6/4,30,107027
LANDSAT_TM_C1,144.201,47.4445,1990/1/1,2020/6/4,30,107027
LANDSAT_8_C1,143.65,46.025,1990/1/1,2020/6/4,30,107028
LANDSAT_ETM_C1,143.65,46.025,1990/1/1,2020/6/4,30,107028
LANDSAT_TM_C1,143.65,46.025,1990/1/1,2020/6/4,30,107028
LANDSAT_8_C1,144.4725,51.688,1990/1/1,2020/6/4,30,108024
LANDSAT_ETM_C1,144.4725,51.688,1990/1/1,2020/6/4,30,108024
LANDSAT_TM_C1,144.4725,51.688,1990/1/1,2020/6/4,30,108024